tcpID,only_chapter,verse,corrupted_book,corrupted_ch_only,corrupted_v_only,all_corrupt,corrupt_ratio,total
A00003,27,50,1,7,3,1,0.1348314606741573,89
A85505,3,126,5,1,13,1,0.1342281879194631,149
A04207,16,139,3,2,18,1,0.1340782122905028,179
A20684,54,30,3,7,2,1,0.13402061855670103,97
A14197,6,163,2,1,19,4,0.13333333333333333,195
A46702,5,8,0,2,0,0,0.13333333333333333,15
A29206,1,12,1,0,0,1,0.13333333333333333,15
A14813,89,9,2,13,0,0,0.13274336283185842,113
A17698,57,2946,54,98,230,74,0.13183000867302688,3459
A01077,9,57,0,3,7,0,0.13157894736842105,76
A85659,4,236,4,3,22,7,0.13043478260869565,276
A64750,14,26,2,1,2,1,0.13043478260869565,46
A05347,26,126,5,4,13,0,0.12643678160919541,174
A96869,0,35,0,1,3,1,0.125,40
A19995,3,11,1,0,1,0,0.125,16
A89004,0,7,0,0,1,0,0.125,8
A80869,2,5,0,0,1,0,0.125,8
A29630,0,7,0,0,1,0,0.125,8
A08819,1,6,1,0,0,0,0.125,8
A34898,4,3,0,0,1,0,0.125,8
A77380,1,6,1,0,0,0,0.125,8
A01765,7,0,0,1,0,0,0.125,8
A76409,4,3,0,1,0,0,0.125,8
A42718,1,6,0,0,1,0,0.125,8
A49962,4,96,2,1,11,0,0.12280701754385964,114
A30811,7,22,1,0,2,1,0.12121212121212122,33
A28586,1,28,0,1,3,0,0.12121212121212122,33
A68730,49,2,1,3,2,1,0.1206896551724138,58
A77507,9,161,2,3,16,2,0.11917098445595854,193
A17183,1159,25,51,104,4,1,0.11904761904761904,1344
A72347,183,2,4,20,1,0,0.11904761904761904,210
A05279,9,231,2,0,29,1,0.11764705882352941,272
A10562,11,19,1,0,3,0,0.11764705882352941,34
A93110,1,29,0,0,2,2,0.11764705882352941,34
A62052,3,12,0,2,0,0,0.11764705882352941,17
A09813,4,11,0,2,0,0,0.11764705882352941,17
A09434,15,98,4,3,7,1,0.1171875,128
A09465,5,214,3,2,20,4,0.11693548387096774,248
A65061,3,35,0,0,5,0,0.11627906976744186,43
