tcpID,only_chapter,verse,corrupted_book,corrupted_ch_only,corrupted_v_only,all_corrupt,corrupt_ratio,total
A04393,269,888,0,0,0,8,0.0068669527896995704,1165
A09759,20,126,0,0,0,1,0.006802721088435374,147
A03906,20,130,0,1,0,0,0.006622516556291391,151
A03274,15,143,0,0,0,1,0.006289308176100629,159
A03641,15,143,0,0,0,1,0.006289308176100629,159
A04166,51,267,0,0,0,2,0.00625,320
A04389,139,827,0,1,0,5,0.006172839506172839,972
A08402,85,569,0,1,0,3,0.0060790273556231,658
A01548,39,291,1,0,0,1,0.006024096385542169,332
A09990,286,554,1,3,0,1,0.005917159763313609,845
A04284,28,141,0,0,0,1,0.0058823529411764705,170
A09013,45,319,0,0,0,2,0.00546448087431694,366
A05185,164,19,0,1,0,0,0.005434782608695652,184
A01553,20,166,0,0,0,1,0.0053475935828877,187
A03336,29,160,0,0,0,1,0.005263157894736842,190
A08444,364,19,1,1,0,0,0.005194805194805195,385
A03695,63,822,0,1,0,3,0.0044994375703037125,889
A03335,54,170,0,0,0,1,0.0044444444444444444,225
A03475,93,132,0,0,0,1,0.004424778761061947,226
A08356,84,851,0,0,0,4,0.004259850905218318,939
A06060,14,232,0,0,0,1,0.004048582995951417,247
A08578,1532,3484,3,7,0,10,0.003971405877680699,5036
A09997,61,448,0,0,0,2,0.003913894324853229,511
A03272,20,236,1,0,0,0,0.0038910505836575876,257
A08311,126,913,1,0,0,3,0.003835091083413231,1043
A04157,48,1033,0,0,0,4,0.003686635944700461,1085
A00448,128,437,0,0,0,2,0.003527336860670194,567
A03717,186,122,0,1,0,0,0.003236245954692557,309
A01094,53,267,0,1,0,0,0.003115264797507788,321
A01894,51,321,0,0,0,1,0.002680965147453083,373
A05192,45,349,0,0,0,1,0.002531645569620253,395
A03268,54,833,0,1,0,1,0.0022497187851518562,889
A01737,190,276,0,0,0,1,0.0021413276231263384,467
A00593,420,2541,1,1,0,4,0.0020222446916076846,2967
A07666,51,477,0,0,0,1,0.001890359168241966,529
A09977,137,477,0,0,0,1,0.0016260162601626016,615
A03339,35,927,0,1,0,0,0.0010384215991692627,963
A09998,266,2071,0,0,0,0,0.0,2337
A05198,75,498,0,0,0,0,0.0,573
A06521,372,197,0,0,0,0,0.0,569
A02043,415,80,0,0,0,0,0.0,495
A00406,233,259,0,0,0,0,0.0,492
A02259,24,381,0,0,0,0,0.0,405
A09056,31,344,0,0,0,0,0.0,375
A02265,80,260,0,0,0,0,0.0,340
A05205,64,271,0,0,0,0,0.0,335
A07952,58,255,0,0,0,0,0.0,313
A08129,26,246,0,0,0,0,0.0,272
A03966,24,240,0,0,0,0,0.0,264
A09052,16,246,0,0,0,0,0.0,262
A09057,47,208,0,0,0,0,0.0,255
A08445,234,10,0,0,0,0,0.0,244
A03760,124,112,0,0,0,0,0.0,236
A05341,9,222,0,0,0,0,0.0,231
A03764,171,58,0,0,0,0,0.0,229
A05052,58,161,0,0,0,0,0.0,219
A05193,14,195,0,0,0,0,0.0,209
A01711,61,141,0,0,0,0,0.0,202
A00426,19,164,0,0,0,0,0.0,183
A09053,27,151,0,0,0,0,0.0,178
A02395,49,127,0,0,0,0,0.0,176
A03419,19,149,0,0,0,0,0.0,168
A03276,9,156,0,0,0,0,0.0,165
A01891,11,153,0,0,0,0,0.0,164
A01575,66,97,0,0,0,0,0.0,163
A09958,24,139,0,0,0,0,0.0,163
A00670,19,141,0,0,0,0,0.0,160
A01632,16,140,0,0,0,0,0.0,156
A09054,28,126,0,0,0,0,0.0,154
A04238,18,128,0,0,0,0,0.0,146
A07061,34,106,0,0,0,0,0.0,140
A04167,9,128,0,0,0,0,0.0,137
A03080,9,125,0,0,0,0,0.0,134
A02959,11,121,0,0,0,0,0.0,132
A01852,10,120,0,0,0,0,0.0,130
A04859,33,94,0,0,0,0,0.0,127
A03528,115,0,0,0,0,0,0.0,115
A07203,17,97,0,0,0,0,0.0,114
A03306,3,109,0,0,0,0,0.0,112
A06018,11,101,0,0,0,0,0.0,112
A04190,6,103,0,0,0,0,0.0,109
A07951,24,82,0,0,0,0,0.0,106
A09867,5,100,0,0,0,0,0.0,105
A02029,16,86,0,0,0,0,0.0,102
A03279,18,84,0,0,0,0,0.0,102
A04838,15,84,0,0,0,0,0.0,99
A05188,64,34,0,0,0,0,0.0,98
A08802,9,89,0,0,0,0,0.0,98
A09507,24,74,0,0,0,0,0.0,98
A06508,89,7,0,0,0,0,0.0,96
A05169,41,51,0,0,0,0,0.0,92
A07450,27,65,0,0,0,0,0.0,92
A02672,38,52,0,0,0,0,0.0,90
A07558,28,62,0,0,0,0,0.0,90
A00733,6,77,0,0,0,0,0.0,83
A01344,9,72,0,0,0,0,0.0,81
A08197,35,45,0,0,0,0,0.0,80
A00800,67,11,0,0,0,0,0.0,78
A01580,30,48,0,0,0,0,0.0,78
A02614,68,9,0,0,0,0,0.0,77
A02702,35,41,0,0,0,0,0.0,76
A05168,26,49,0,0,0,0,0.0,75
A06872,8,67,0,0,0,0,0.0,75
A03897,10,63,0,0,0,0,0.0,73
A00583,10,62,0,0,0,0,0.0,72
A03926,28,44,0,0,0,0,0.0,72
A04618,50,20,0,0,0,0,0.0,70
A04627,13,56,0,0,0,0,0.0,69
A01069,41,27,0,0,0,0,0.0,68
A04576,36,32,0,0,0,0,0.0,68
A09511,34,34,0,0,0,0,0.0,68
A08364,4,63,0,0,0,0,0.0,67
A01936,12,53,0,0,0,0,0.0,65
A02692,44,21,0,0,0,0,0.0,65
A03930,6,59,0,0,0,0,0.0,65
A09949,9,56,0,0,0,0,0.0,65
A00584,2,62,0,0,0,0,0.0,64
A02225,19,45,0,0,0,0,0.0,64
A04823,17,45,0,0,0,0,0.0,62
A04849,60,2,0,0,0,0,0.0,62
A07385,19,43,0,0,0,0,0.0,62
A00684,7,53,0,0,0,0,0.0,60
A05416,10,50,0,0,0,0,0.0,60
A05470,11,49,0,0,0,0,0.0,60
A08599,51,9,0,0,0,0,0.0,60
A07189,5,54,0,0,0,0,0.0,59
A03425,33,25,0,0,0,0,0.0,58
A02698,22,35,0,0,0,0,0.0,57
A07371,8,45,0,0,0,0,0.0,53
A03443,12,38,0,0,0,0,0.0,50
A07358,21,29,0,0,0,0,0.0,50
A07538,8,42,0,0,0,0,0.0,50
A02671,29,20,0,0,0,0,0.0,49
A05417,16,33,0,0,0,0,0.0,49
A04575,25,23,0,0,0,0,0.0,48
A07446,43,5,0,0,0,0,0.0,48
A00669,5,42,0,0,0,0,0.0,47
A02565,5,41,0,0,0,0,0.0,46
A01906,37,7,0,0,0,0,0.0,44
A03427,30,14,0,0,0,0,0.0,44
