,Feature_Type,Feature,Model,Accuracy,Precision,F1_Score,Cohen's Kappa
138,Book,Exodus,DS,0.7941,0.9348,0.86,0.4803
139,Book,Exodus,GPT,0.6912,1.0,0.7586,0.3929
140,Book,Jude,DS,0.7778,0.0,0.0,0.0
141,Book,Jude,GPT,0.7778,0.0,0.0,0.0
142,Book,1 Kings,DS,0.8667,1.0,0.8333,0.7273
143,Book,1 Kings,GPT,0.8,1.0,0.7273,0.5872
144,Book,Ecclesiastes,DS,0.8333,1.0,0.88,0.6197
145,Book,Ecclesiastes,GPT,0.7778,1.0,0.8333,0.5263
146,Book,Joshua,DS,1.0,0.0,0.0,
147,Book,Joshua,GPT,0.9,0.0,0.0,0.0
148,Book,1 Maccabees,DS,0.4286,0.6667,0.3333,0.0175
149,Book,1 Maccabees,GPT,0.5,1.0,0.3636,0.1695
