verse_id,verse_text,to_remove
Jeremiah 44.2 (AKJV) - 0,"Part 1 of Jeremiah 44.2: Thus saith the Lord of hosts, the God of Israel;",TRUE
Jeremiah 44.2 (Douay-Rheims) - 0,Part 1 of Jeremiah 44.2: Thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 44.7 (Douay-Rheims) - 0,Part 1 of Jeremiah 44.7: And now thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 44.7 (Vulgate) - 0,"Part 1 of Jeremiah 44.7: Et nunc hæc dicit Dominus exercituum, Deus Israël:",TRUE
Jeremiah 5.14 (Douay-Rheims) - 0,Part 1 of Jeremiah 5.14: Thus saith the Lord the God of hosts:,TRUE
Jeremiah 50.18 (AKJV) - 0,Part 1 of Jeremiah 50.18: Therefore thus saith the Lord of hostes the God of Israel;,TRUE
Jeremiah 50.18 (Douay-Rheims) - 0,Part 1 of Jeremiah 50.18: Therefore thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 51.33 (AKJV) - 0,"Part 1 of Jeremiah 51.33: For thus saith the Lord of hostes, the God of Israel;",TRUE
Jeremiah 51.33 (Douay-Rheims) - 0,Part 1 of Jeremiah 51.33: For thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 51.33 (Vulgate) - 0,"Part 1 of Jeremiah 51.33: Quia hæc dicit Dominus exercituum, Deus Israël:",TRUE
Jeremiah 7.1 (Douay-Rheims),"Jeremiah 7.1 The word that came to Jeremias from the Lord, saying:",TRUE
Jeremiah 7.21 (Douay-Rheims) - 0,Part 1 of Jeremiah 7.21: Thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 7.3 (AKJV) - 0,Part 1 of Jeremiah 7.3: Thus saith the Lord of hostes the God of Israel;,TRUE
Jeremiah 7.3 (Douay-Rheims) - 0,Part 1 of Jeremiah 7.3: Thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 9.15 (Douay-Rheims) - 0,Part 1 of Jeremiah 9.15: Therefore thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 9.15 (Vulgate) - 0,"Part 1 of Jeremiah 9.15: idcirco hæc dicit Dominus exercituum, Deus Israël:",TRUE
Jeremiah 9.17 (Douay-Rheims) - 0,Part 1 of Jeremiah 9.17: Thus saith the Lord of hosts the God of Israel:,TRUE
Joshua 7.13 (Douay-Rheims) - 2,Part 3 of Joshua 7.13: for thus saith the Lord God of Israel:,TRUE
Judges 6.8 (Douay-Rheims) - 1,Part 2 of Judges 6.8: Thus saith the Lord the God of Israel:,TRUE
Luke 20.42 (ODRV) - 0,Part 1 of Luke 20.42: and Dauid himseld saith in the booke of Psalmes:,TRUE
Numbers 21.27 (Douay-Rheims) - 0,Part 1 of Numbers 21.27: Therefore it is said in the proverb:,TRUE
Psalms 108.1 (Geneva) - 0,Part 1 of Psalms 108.1: A song or Psalme of David.,TRUE
Psalms 122.1 (Geneva) - 0,"Part 1 of Psalms 122.1: A song of degrees, or Psalme of David.",TRUE
Psalms 124.1 (Geneva) - 0,"Part 1 of Psalms 124.1: A song of degrees, or Psalme of David.",TRUE
Psalms 126.1 (Geneva) - 0,"Part 1 of Psalms 126.1: A song of degrees, or Psalme of David.",TRUE
Psalms 131.1 (Geneva) - 0,Part 1 of Psalms 131.1: A song of degrees or Psalme of David.,TRUE
Psalms 133.1 (Geneva) - 0,Part 1 of Psalms 133.1: A song of degrees or Psalme of David.,TRUE
Psalms 145.1 (Geneva) - 0,Part 1 of Psalms 145.1: A Psalme of David of Praise.,TRUE
3 Kings 17.14 (Douay-Rheims) - 0,Part 1 of 3 Kings 17.14: For thus saith the Lord the God of Israel:,TRUE
4 Kings 9.6 (Douay-Rheims) - 2,Part 3 of 4 Kings 9.6: Thus saith the Lord God of Israel:,TRUE
1 Kings 2.30 (Douay-Rheims) - 0,Part 1 of 1 Kings 2.30: Wherefore thus saith the Lord the God of Israel:,TRUE
4 Kings 21.12 (Douay-Rheims) - 0,Part 1 of 4 Kings 21.12: Therefore thus saith the Lord the God of Israel:,TRUE
3 Kings 17.14 (Vulgate) - 0,Part 1 of 3 Kings 17.14: Hæc autem dicit Dominus Deus Israël:,TRUE
Exodus 5.1 (ODRV) - 1,Part 2 of Exodus 5.1: This saith the Lord God of Israel:,TRUE
4 Kings 21.12 (Vulgate) - 0,Part 1 of 4 Kings 21.12: propterea hæc dicit Dominus Deus Israël:,TRUE
Jeremiah 21.4 (Douay-Rheims) - 0,"Part 1 of Jeremiah 21.4: Thus saith the Lord, the God of Israel:",TRUE
Jeremiah 13.12 (Douay-Rheims) - 1,Part 2 of Jeremiah 13.12: Thus saith the Lord God of Israel:,TRUE
Jeremiah 34.2 (Douay-Rheims) - 0,"Part 1 of Jeremiah 34.2: Thus saith the Lord, the God of Israel:",TRUE
Jeremiah 13.12 (AKJV) - 1,Part 2 of Jeremiah 13.12: Thus saith the Lord God of Israel;,TRUE
Jeremiah 21.4 (AKJV) - 0,Part 1 of Jeremiah 21.4: Thus saith the Lord God of Israel;,TRUE
2 Chronicles 34.23 (AKJV) - 0,"Part 1 of 2 Chronicles 34.23: And she answered them, Thus saith the Lord God of Israel:",TRUE
1 Kings 15.2 (Douay-Rheims) - 0,Part 1 of 1 Kings 15.2: Thus saith the Lord of hosts:,TRUE
Joshua 7.13 (Vulgate) - 2,Part 3 of Joshua 7.13: hæc enim dicit Dominus Deus Israël:,TRUE
Ezekiel 23.28 (Douay-Rheims) - 0,Part 1 of Ezekiel 23.28: For thus saith the Lord God:,TRUE
Ezekiel 17.16 (Douay-Rheims) - 0,"Part 1 of Ezekiel 17.16: As I live, saith the Lord God:",FALSE
2 Kings 23.3 (Vulgate) - 0,"Part 1 of 2 Kings 23.3: Dixit Deus Israël mihi, locutus est fortis Israël:",FALSE
Ezekiel 23.28 (AKJV) - 0,Part 1 of Ezekiel 23.28: For thus saith the Lord God;,TRUE
Ezekiel 32.11 (Douay-Rheims) - 0,Part 1 of Ezekiel 32.11: For thus saith the Lord God:,TRUE
2 Kings 7.8 (Douay-Rheims) - 1,Part 2 of 2 Kings 7.8: Thus saith the Lord of hosts:,TRUE
Ezekiel 29.13 (Douay-Rheims) - 0,Part 1 of Ezekiel 29.13: For thus saith the Lord God:,TRUE
Ezekiel 5.11 (Douay-Rheims) - 0,"Part 1 of Ezekiel 5.11: Therefore as I live, saith the Lord God:",FALSE
Ezekiel 26.19 (Douay-Rheims) - 0,Part 1 of Ezekiel 26.19: For thus saith the Lord God:,TRUE
Ezekiel 16.59 (Douay-Rheims) - 0,Part 1 of Ezekiel 16.59: For thus saith the Lord God:,TRUE
Ezekiel 34.11 (Douay-Rheims) - 0,Part 1 of Ezekiel 34.11: For thus saith the Lord God:,TRUE
Ezekiel 26.19 (AKJV) - 0,Part 1 of Ezekiel 26.19: For thus saith the Lord God;,TRUE
Ezekiel 23.46 (Douay-Rheims) - 0,Part 1 of Ezekiel 23.46: For thus saith the Lord God:,TRUE
Ezekiel 13.20 (Douay-Rheims) - 0,Part 1 of Ezekiel 13.20: Therefore thus saith the Lord God:,TRUE
Ezekiel 16.59 (AKJV) - 0,Part 1 of Ezekiel 16.59: For thus saith the Lord God;,TRUE
Ezekiel 22.19 (Douay-Rheims) - 0,Part 1 of Ezekiel 22.19: Therefore thus saith the Lord God:,TRUE
Ezekiel 25.16 (Douay-Rheims) - 0,Part 1 of Ezekiel 25.16: Therefore thus saith the Lord God:,TRUE
Ezekiel 25.13 (Douay-Rheims) - 0,Part 1 of Ezekiel 25.13: Therefore thus saith the Lord God:,TRUE
Ezekiel 24.9 (Douay-Rheims) - 0,Part 1 of Ezekiel 24.9: Therefore thus saith the Lord God:,TRUE
Ezekiel 17.19 (Douay-Rheims) - 0,Part 1 of Ezekiel 17.19: Therefore thus saith the Lord God:,TRUE
Ezekiel 11.16 (Douay-Rheims) - 0,Part 1 of Ezekiel 11.16: Therefore thus saith the Lord God:,TRUE
Ezekiel 23.35 (Douay-Rheims) - 0,Part 1 of Ezekiel 23.35: Therefore thus saith the Lord God:,TRUE
Ezekiel 29.19 (Douay-Rheims) - 0,Part 1 of Ezekiel 29.19: Therefore thus saith the Lord God:,TRUE
Ezekiel 21.24 (Douay-Rheims) - 0,Part 1 of Ezekiel 21.24: Therefore thus saith the Lord God:,TRUE
Ezekiel 25.6 (Douay-Rheims) - 0,Part 1 of Ezekiel 25.6: For thus saith the Lord God:,TRUE
